table with row headers in column B and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Incorporated Places of 50,000 or More, Ranked by July 1, 2022 Population:
April 1, 2020 to July 1, 2022",,,,,
Rank,Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,
,,,2020,2021,2022
1,"New York city, New York","8,804,194","8,740,647","8,459,001","8,335,897"
2,"Los Angeles city, California","3,898,767","3,895,836","3,837,986","3,822,238"
3,"Chicago city, Illinois","2,746,352","2,740,076","2,698,029","2,665,039"
4,"Houston city, Texas","2,301,572","2,299,867","2,291,655","2,302,878"
5,"Phoenix city, Arizona","1,608,190","1,612,337","1,625,356","1,644,409"
6,"Philadelphia city, Pennsylvania","1,603,799","1,600,600","1,589,480","1,567,258"
7,"San Antonio city, Texas","1,434,367","1,439,225","1,454,020","1,472,909"
8,"San Diego city, California","1,386,960","1,386,872","1,374,484","1,381,162"
9,"Dallas city, Texas","1,304,317","1,303,641","1,290,711","1,299,544"
10,"Austin city, Texas","961,900","965,768","969,343","974,447"
11,"Jacksonville city, Florida","949,616","951,707","956,911","971,319"
12,"San Jose city, California","1,013,221","1,009,830","981,466","971,233"
13,"Fort Worth city, Texas","918,937","923,576","937,539","956,709"
14,"Columbus city, Ohio","905,839","906,266","903,051","907,971"
15,"Charlotte city, North Carolina","874,607","875,115","882,503","897,720"
16,"Indianapolis city (balance), Indiana","887,661","887,153","882,420","880,621"
17,"San Francisco city, California","873,959","870,393","811,253","808,437"
18,"Seattle city, Washington","737,018","740,520","731,507","749,256"
19,"Denver city, Colorado","715,538","717,556","711,323","713,252"
20,"Oklahoma City city, Oklahoma","681,084","683,024","688,361","694,800"
21,"Nashville-Davidson metropolitan government (balance), Tennessee","689,454","689,725","678,134","683,622"
22,"El Paso city, Texas","678,697","679,040","678,475","677,456"
23,"Washington city, District of Columbia","689,546","670,868","668,791","671,803"
24,"Las Vegas city, Nevada","644,866","646,737","650,770","656,274"
25,"Boston city, Massachusetts","675,632","671,570","654,537","650,706"
26,"Portland city, Oregon","652,518","653,294","643,375","635,067"
27,"Louisville/Jefferson County metro government (balance), Kentucky","632,550","632,441","627,709","624,444"
28,"Memphis city, Tennessee","631,539","631,168","625,982","621,056"
29,"Detroit city, Michigan","639,115","637,342","628,167","620,376"
30,"Baltimore city, Maryland","585,693","583,139","576,981","569,931"
31,"Milwaukee city, Wisconsin","577,225","576,511","565,840","563,305"
32,"Albuquerque city, New Mexico","564,581","564,855","563,108","561,008"
33,"Tucson city, Arizona","542,656","542,676","541,234","546,574"
34,"Fresno city, California","542,252","542,447","543,910","545,567"
35,"Sacramento city, California","524,924","525,668","525,951","528,001"
36,"Mesa city, Arizona","504,300","505,863","509,339","512,498"
37,"Kansas City city, Missouri","507,971","508,183","508,949","509,297"
38,"Atlanta city, Georgia","498,722","499,868","492,667","499,127"
39,"Colorado Springs city, Colorado","479,016","480,292","483,328","486,248"
40,"Omaha city, Nebraska","491,743","492,601","488,508","485,153"
41,"Raleigh city, North Carolina","467,762","464,320","469,892","476,587"
42,"Virginia Beach city, Virginia","459,471","459,646","458,680","455,618"
43,"Long Beach city, California","466,775","465,448","454,334","451,307"
44,"Miami city, Florida","442,260","442,799","441,999","449,514"
45,"Oakland city, California","440,660","440,873","436,291","430,553"
46,"Minneapolis city, Minnesota","429,985","430,684","424,635","425,096"
47,"Tulsa city, Oklahoma","413,123","413,603","412,770","411,867"
48,"Bakersfield city, California","404,440","405,181","409,079","410,647"
49,"Tampa city, Florida","384,661","387,908","392,893","398,173"
50,"Wichita city, Kansas","397,547","398,003","396,679","396,192"
51,"Arlington city, Texas","394,257","394,212","393,278","394,602"
52,"Aurora city, Colorado","386,324","386,749","390,370","393,537"
53,"New Orleans city, Louisiana","383,998","383,218","377,063","369,749"
54,"Cleveland city, Ohio","372,632","371,817","365,389","361,607"
55,"Anaheim city, California","346,825","347,105","346,174","344,461"
56,"Urban Honolulu CDP, Hawaii","350,966","348,387","346,594","343,421"
57,"Henderson city, Nevada","317,310","319,039","322,421","331,415"
58,"Stockton city, California","320,810","321,023","322,607","321,819"
59,"Riverside city, California","315,014","315,469","313,912","320,764"
60,"Lexington-Fayette urban county, Kentucky","322,567","322,613","320,473","320,347"
61,"Corpus Christi city, Texas","317,863","318,047","317,828","316,239"
62,"Orlando city, Florida","307,683","307,733","309,854","316,081"
63,"Irvine city, California","307,665","308,974","305,096","313,685"
64,"Cincinnati city, Ohio","309,561","309,574","308,685","309,513"
65,"Santa Ana city, California","310,555","309,921","308,771","308,189"
66,"Newark city, New Jersey","311,552","310,613","307,312","305,344"
67,"St. Paul city, Minnesota","311,518","311,130","307,150","303,176"
68,"Pittsburgh city, Pennsylvania","302,958","302,762","305,441","302,898"
69,"Greensboro city, North Carolina","299,101","296,916","299,225","301,115"
70,"Lincoln city, Nebraska","291,105","291,576","291,476","292,627"
71,"Durham city, North Carolina","283,588","284,362","289,177","291,928"
72,"Plano city, Texas","285,469","286,388","288,696","289,547"
73,"Anchorage municipality, Alaska","291,244","290,866","288,702","287,145"
74,"Jersey City city, New Jersey","292,754","291,919","284,642","286,670"
75,"St. Louis city, Missouri","301,574","300,483","293,562","286,578"
76,"Chandler city, Arizona","276,010","277,327","279,479","280,711"
77,"North Las Vegas city, Nevada","259,520","261,191","271,124","280,543"
78,"Chula Vista city, California","275,500","276,041","277,008","279,170"
79,"Buffalo city, New York","278,301","277,620","277,845","276,486"
80,"Gilbert town, Arizona","267,932","269,157","273,205","275,346"
81,"Reno city, Nevada","264,147","264,965","270,025","273,448"
82,"Madison city, Wisconsin","269,769","270,313","267,871","272,903"
83,"Fort Wayne city, Indiana","263,914","264,361","266,372","267,927"
84,"Toledo city, Ohio","270,880","270,266","268,744","266,301"
85,"Lubbock city, Texas","257,157","257,974","261,199","263,930"
86,"St. Petersburg city, Florida","258,356","258,997","259,083","261,256"
87,"Laredo city, Texas","255,212","255,479","255,895","256,187"
88,"Irving city, Texas","256,687","256,866","254,561","254,715"
89,"Chesapeake city, Virginia","249,415","249,803","251,739","252,488"
90,"Glendale city, Arizona","248,374","248,904","249,893","252,136"
91,"Winston-Salem city, North Carolina","249,562","249,793","250,922","251,350"
92,"Scottsdale city, Arizona","241,339","241,866","242,780","243,050"
93,"Garland city, Texas","246,001","245,450","242,189","240,854"
94,"Boise City city, Idaho","235,712","236,018","238,021","236,634"
95,"Norfolk city, Virginia","238,001","237,738","235,025","232,995"
96,"Port St. Lucie city, Florida","204,856","206,808","217,903","231,790"
97,"Spokane city, Washington","228,978","229,187","229,674","230,160"
98,"Richmond city, Virginia","226,618","227,008","227,602","229,395"
99,"Fremont city, California","230,493","230,194","226,532","223,871"
100,"Huntsville city, Alabama","215,052","216,344","218,672","221,933"
101,"Tacoma city, Washington","219,175","219,693","219,593","221,776"
102,"Baton Rouge city, Louisiana","226,916","226,265","224,076","221,453"
103,"Santa Clarita city, California","228,679","228,065","224,320","221,345"
104,"San Bernardino city, California","222,068","222,028","221,242","220,328"
105,"Hialeah city, Florida","223,123","222,390","220,980","220,292"
106,"Frisco city, Texas","200,536","202,742","211,081","219,587"
107,"Modesto city, California","218,467","218,654","218,948","218,069"
108,"Cape Coral city, Florida","193,994","195,408","203,975","216,992"
109,"Fontana city, California","208,387","208,620","210,540","212,475"
110,"Moreno Valley city, California","208,640","209,107","211,564","211,924"
111,"Des Moines city, Iowa","214,125","213,814","212,538","211,034"
112,"Rochester city, New York","211,321","211,167","211,207","209,352"
113,"Fayetteville city, North Carolina","208,470","208,104","209,669","208,873"
114,"Yonkers city, New York","211,585","210,989","209,942","208,121"
115,"McKinney city, Texas","195,326","197,474","203,427","207,507"
116,"Worcester city, Massachusetts","206,519","205,063","205,660","205,319"
117,"Salt Lake City city, Utah","199,711","200,658","201,165","204,657"
118,"Little Rock city, Arkansas","202,562","202,622","202,230","202,864"
119,"Columbus city, Georgia","206,922","206,998","205,024","202,616"
120,"Augusta-Richmond County consolidated government (balance), Georgia","202,080","202,000","200,838","202,096"
121,"Sioux Falls city, South Dakota","192,700","193,409","196,802","202,078"
122,"Grand Prairie city, Texas","196,138","196,278","197,427","201,843"
123,"Tallahassee city, Florida","196,171","197,926","200,289","201,731"
124,"Amarillo city, Texas","200,377","200,507","200,852","201,291"
125,"Oxnard city, California","202,067","202,244","202,054","200,415"
126,"Peoria city, Arizona","190,966","191,961","194,973","197,866"
127,"Overland Park city, Kansas","197,249","197,722","197,597","197,726"
128,"Montgomery city, Alabama","200,586","200,024","198,469","196,986"
129,"Birmingham city, Alabama","200,646","200,329","197,823","196,910"
130,"Grand Rapids city, Michigan","198,893","198,698","197,751","196,908"
131,"Knoxville city, Tennessee","190,728","191,478","193,598","195,889"
132,"Vancouver city, Washington","190,888","191,259","192,759","194,512"
133,"Huntington Beach city, California","198,723","198,410","196,463","194,310"
134,"Providence city, Rhode Island","190,932","190,728","190,081","189,563"
135,"Brownsville city, Texas","186,717","186,990","187,957","189,382"
136,"Glendale city, California","196,534","195,995","192,272","189,221"
137,"Akron city, Ohio","190,416","190,130","188,550","188,509"
138,"Tempe city, Arizona","180,576","181,680","181,040","185,950"
139,"Newport News city, Virginia","186,243","186,033","184,764","184,306"
140,"Chattanooga city, Tennessee","181,057","181,560","181,163","184,086"
141,"Mobile city, Alabama","187,048","186,611","185,017","183,289"
142,"Fort Lauderdale city, Florida","182,775","182,880","182,011","183,146"
143,"Cary town, North Carolina","174,763","175,510","177,463","180,388"
144,"Shreveport city, Louisiana","187,587","186,827","183,328","180,153"
145,"Ontario city, California","175,266","175,852","177,845","179,061"
146,"Eugene city, Oregon","177,195","177,389","177,953","177,923"
147,"Aurora city, Illinois","180,526","180,197","179,336","177,866"
148,"Elk Grove city, California","176,141","176,732","178,283","177,558"
149,"Salem city, Oregon","175,472","175,931","178,105","177,487"
150,"Santa Rosa city, California","178,128","177,835","177,149","177,181"
151,"Clarksville city, Tennessee","166,739","167,499","170,912","176,974"
152,"Rancho Cucamonga city, California","174,624","174,571","175,169","176,336"
153,"Oceanside city, California","174,048","173,914","172,919","172,199"
154,"Springfield city, Missouri","169,168","169,164","169,255","170,067"
155,"Pembroke Pines city, Florida","171,182","171,062","169,635","169,876"
156,"Garden Grove city, California","171,973","171,759","170,511","169,254"
157,"Fort Collins city, Colorado","169,827","169,979","169,266","169,249"
158,"Lancaster city, California","173,511","173,040","170,074","169,185"
159,"Palmdale city, California","169,415","168,863","165,452","163,463"
160,"Murfreesboro city, Tennessee","152,775","153,737","156,675","162,398"
161,"Salinas city, California","163,542","163,296","163,076","161,020"
162,"Corona city, California","157,154","157,549","159,782","159,567"
163,"Killeen city, Texas","153,143","153,726","156,959","159,172"
164,"Hayward city, California","162,948","162,602","158,445","156,754"
165,"Paterson city, New Jersey","159,759","159,153","157,905","156,661"
166,"Macon-Bibb County, Georgia","157,347","157,025","155,985","156,197"
167,"Lakewood city, Colorado","155,975","156,236","157,109","156,120"
168,"Alexandria city, Virginia","159,461","159,125","155,203","155,525"
169,"Roseville city, California","147,796","148,486","152,095","154,817"
170,"Surprise city, Arizona","143,158","144,395","149,325","154,198"
171,"Springfield city, Massachusetts","155,931","155,407","154,948","154,064"
172,"Charleston city, South Carolina","150,288","150,742","151,783","153,672"
173,"Kansas City city, Kansas","156,606","156,287","154,789","153,345"
174,"Sunnyvale city, California","155,629","155,264","152,030","153,091"
175,"Bellevue city, Washington","151,864","151,766","149,791","152,767"
176,"Hollywood city, Florida","153,036","152,792","152,427","152,650"
177,"Denton city, Texas","139,861","141,097","147,208","150,353"
178,"Escondido city, California","151,074","151,139","150,679","150,270"
179,"Joliet city, Illinois","150,374","150,221","150,550","150,033"
180,"Naperville city, Illinois","149,559","149,416","149,453","149,936"
181,"Bridgeport city, Connecticut","148,644","148,165","148,571","148,377"
182,"Savannah city, Georgia","147,768","147,442","146,438","148,004"
183,"Mesquite city, Texas","150,227","149,666","147,821","147,899"
184,"Pasadena city, Texas","151,897","151,359","148,674","147,662"
185,"Rockford city, Illinois","148,662","148,407","147,595","146,713"
186,"Pomona city, California","151,445","151,033","147,125","146,017"
187,"Jackson city, Mississippi","153,705","152,992","149,727","145,995"
188,"Olathe city, Kansas","141,283","141,575","143,427","145,616"
189,"Gainesville city, Florida","141,079","142,203","143,955","145,214"
190,"McAllen city, Texas","142,195","142,395","143,882","144,579"
191,"Syracuse city, New York","148,608","146,792","145,823","144,451"
192,"Waco city, Texas","140,119","140,534","142,336","143,984"
193,"Visalia city, California","141,574","141,859","142,795","143,966"
194,"Thornton city, Colorado","141,862","142,176","142,934","143,282"
195,"Torrance city, California","147,071","146,589","143,509","141,126"
196,"Fullerton city, California","143,638","143,419","140,559","140,541"
197,"Columbia city, South Carolina","136,803","136,186","136,394","139,698"
198,"New Haven city, Connecticut","134,024","133,959","138,731","138,915"
199,"Hampton city, Virginia","137,158","137,276","137,847","138,037"
200,"Miramar city, Florida","134,706","134,502","135,380","137,228"
201,"Victorville city, California","134,802","134,632","135,921","137,221"
202,"Warren city, Michigan","139,398","139,101","138,272","137,107"
203,"West Valley City city, Utah","140,239","139,967","139,065","136,650"
204,"Cedar Rapids city, Iowa","137,723","137,742","136,872","136,429"
205,"Stamford city, Connecticut","135,451","135,548","136,688","136,188"
206,"Orange city, California","139,902","139,428","137,295","136,178"
207,"Dayton city, Ohio","137,624","137,484","136,837","135,944"
208,"Midland city, Texas","132,524","132,876","131,505","134,444"
209,"Kent city, Washington","136,609","136,580","135,182","134,392"
210,"Elizabeth city, New Jersey","137,310","136,651","135,543","134,283"
211,"Pasadena city, California","138,719","138,304","135,932","134,211"
212,"Carrollton city, Texas","133,432","133,557","133,569","133,820"
213,"Coral Springs city, Florida","134,396","134,159","133,141","133,369"
214,"Sterling Heights city, Michigan","134,334","134,112","133,344","132,567"
215,"Fargo city, North Dakota","125,952","125,979","129,510","131,444"
216,"Lewisville city, Texas","125,688","126,428","127,214","131,215"
217,"Meridian city, Idaho","117,713","119,405","125,774","129,736"
218,"Norman city, Oklahoma","127,991","128,161","129,070","129,627"
219,"Palm Bay city, Florida","119,752","120,154","122,952","129,234"
220,"Athens-Clarke County unified government (balance), Georgia","127,362","127,243","127,873","128,561"
221,"Columbia city, Missouri","126,233","126,486","127,550","128,555"
222,"Abilene city, Texas","125,178","125,404","126,160","127,385"
223,"Pearland city, Texas","125,815","125,989","125,926","126,949"
224,"Santa Clara city, California","127,861","127,894","127,958","126,930"
225,"Round Rock city, Texas","119,501","120,531","124,041","126,697"
226,"Topeka city, Kansas","126,601","126,419","126,124","125,449"
227,"Allentown city, Pennsylvania","125,858","125,722","125,772","125,094"
228,"Clovis city, California","120,160","120,660","123,007","124,556"
229,"Simi Valley city, California","126,373","126,335","126,053","124,398"
230,"College Station city, Texas","120,523","120,763","122,650","124,319"
231,"Thousand Oaks city, California","126,968","126,770","126,001","124,265"
232,"Vallejo city, California","126,083","125,886","124,773","123,564"
233,"Concord city, California","125,411","125,256","124,337","122,625"
234,"Rochester city, Minnesota","121,388","121,565","121,728","121,878"
235,"Arvada city, Colorado","124,402","124,394","123,591","121,581"
236,"Lafayette city, Louisiana","121,398","121,445","121,486","121,389"
237,"Independence city, Missouri","123,004","122,974","122,219","121,202"
238,"West Palm Beach city, Florida","117,315","117,492","117,891","120,932"
239,"Hartford city, Connecticut","121,018","120,638","120,867","120,686"
240,"Wilmington city, North Carolina","115,456","115,756","117,792","120,324"
241,"Lakeland city, Florida","112,640","113,894","117,258","120,071"
242,"Billings city, Montana","117,142","117,205","117,703","119,960"
243,"Ann Arbor city, Michigan","123,872","123,625","119,070","119,875"
244,"Fairfield city, California","119,872","119,874","119,835","119,338"
245,"Berkeley city, California","124,324","124,206","114,810","118,950"
246,"Richardson city, Texas","119,464","119,323","118,149","118,802"
247,"North Charleston city, South Carolina","114,839","115,563","117,586","118,608"
248,"Cambridge city, Massachusetts","118,395","118,349","118,082","118,488"
249,"Broken Arrow city, Oklahoma","113,556","113,922","116,356","117,911"
250,"Clearwater city, Florida","117,387","117,284","117,093","117,027"
251,"West Jordan city, Utah","116,962","117,024","116,544","116,664"
252,"Evansville city, Indiana","117,291","117,364","116,670","115,749"
253,"League City city, Texas","114,377","114,679","115,611","115,418"
254,"Antioch city, California","115,305","115,251","114,964","115,264"
255,"Manchester city, New Hampshire","115,653","115,499","115,173","115,141"
256,"High Point city, North Carolina","114,117","114,225","114,676","115,067"
257,"Waterbury city, Connecticut","114,455","114,293","114,998","115,016"
258,"Westminster city, Colorado","116,315","116,302","114,798","114,533"
259,"Richmond city, California","116,432","116,367","115,731","114,301"
260,"Carlsbad city, California","114,735","114,896","115,224","114,160"
261,"Las Cruces city, New Mexico","111,392","111,699","112,853","113,888"
262,"Murrieta city, California","110,953","111,318","113,006","113,783"
263,"Lowell city, Massachusetts","115,550","115,366","114,288","113,608"
264,"Provo city, Utah","115,173","115,102","114,903","113,523"
265,"Springfield city, Illinois","114,414","114,264","113,742","113,273"
266,"Elgin city, Illinois","114,798","114,604","114,031","113,177"
267,"Odessa city, Texas","114,452","114,926","112,191","112,906"
268,"Lansing city, Michigan","112,657","112,554","112,549","112,537"
269,"Pompano Beach city, Florida","112,056","111,954","111,516","112,302"
270,"Beaumont city, Texas","115,268","114,980","113,638","112,089"
271,"Temecula city, California","109,994","110,013","110,810","111,752"
272,"Gresham city, Oregon","114,255","114,466","113,154","111,621"
273,"Allen city, Texas","104,645","105,537","107,019","111,551"
274,"Pueblo city, Colorado","111,874","111,891","111,991","111,456"
275,"Everett city, Washington","110,602","110,881","110,958","111,337"
276,"South Fulton city, Georgia","108,064","108,218","109,325","111,158"
277,"Peoria city, Illinois","113,176","112,850","111,870","111,021"
278,"Nampa city, Idaho","100,310","101,303","106,525","110,951"
279,"Tuscaloosa city, Alabama","99,627","104,214","109,082","110,602"
280,"Miami Gardens city, Florida","111,644","111,481","111,648","110,497"
281,"Santa Maria city, California","109,695","109,742","109,647","110,125"
282,"Downey city, California","114,358","113,973","111,570","109,934"
283,"Concord city, North Carolina","105,318","105,967","108,029","109,896"
284,"San Buenaventura (Ventura) city, California","110,736","110,518","110,027","109,527"
285,"Costa Mesa city, California","111,926","111,797","110,885","109,521"
286,"Sugar Land city, Texas","111,032","110,822","109,584","109,414"
287,"Menifee city, California","102,526","103,158","106,365","109,399"
288,"Tyler city, Texas","105,984","106,276","107,353","109,286"
289,"Sparks city, Nevada","108,457","108,876","109,681","109,226"
290,"Greeley city, Colorado","108,791","109,264","108,631","109,209"
291,"Rio Rancho city, New Mexico","104,039","104,361","105,944","108,082"
292,"Sandy Springs city, Georgia","108,068","108,163","107,344","107,763"
293,"Dearborn city, Michigan","109,961","109,662","108,736","107,710"
294,"Jurupa Valley city, California","105,054","105,313","106,982","107,609"
295,"Spokane Valley city, Washington","102,983","103,525","105,796","107,325"
296,"Hillsboro city, Oregon","106,438","106,981","106,916","107,299"
297,"Davie town, Florida","105,703","106,024","105,872","106,513"
298,"Green Bay city, Wisconsin","107,363","107,254","106,346","106,095"
299,"Centennial city, Colorado","108,422","108,185","107,332","105,865"
300,"Buckeye city, Arizona","91,535","93,754","101,720","105,567"
301,"Boulder city, Colorado","108,246","108,112","104,001","105,485"
302,"Goodyear city, Arizona","95,288","96,912","101,524","105,406"
303,"El Monte city, California","109,447","109,111","106,918","105,312"
304,"West Covina city, California","109,501","109,129","106,868","105,013"
305,"Brockton city, Massachusetts","105,654","105,502","105,501","104,826"
306,"New Braunfels city, Texas","90,391","91,621","99,032","104,707"
307,"El Cajon city, California","106,183","106,126","105,474","104,414"
308,"Edinburg city, Texas","100,269","100,707","103,068","104,294"
309,"Renton city, Washington","106,836","106,708","105,422","104,047"
310,"Burbank city, California","107,335","107,143","105,291","103,920"
311,"Inglewood city, California","107,759","107,384","105,097","103,621"
312,"Rialto city, California","104,048","104,125","104,305","103,545"
313,"Lee's Summit city, Missouri","101,122","101,617","102,853","103,465"
314,"Bend city, Oregon","99,213","99,669","102,428","103,254"
315,"South Bend city, Indiana","103,436","103,333","103,161","103,110"
316,"Wichita Falls city, Texas","102,316","102,513","102,786","102,664"
317,"St. George city, Utah","95,345","96,032","100,180","102,519"
318,"Fishers city, Indiana","99,027","99,456","101,339","101,966"
319,"Carmel city, Indiana","99,753","99,898","100,959","101,964"
320,"Vacaville city, California","102,386","101,806","101,447","101,918"
321,"Quincy city, Massachusetts","101,606","101,462","101,142","101,727"
322,"Conroe city, Texas","89,990","91,247","95,438","101,405"
323,"Chico city, California","102,816","102,135","100,162","101,299"
324,"San Mateo city, California","105,665","105,327","102,400","100,984"
325,"Lynn city, Massachusetts","101,263","101,095","100,992","100,891"
326,"Albany city, New York","99,233","98,664","100,735","100,826"
327,"Hesperia city, California","99,838","100,090","100,847","100,744"
328,"New Bedford city, Massachusetts","101,089","100,987","101,007","100,682"
329,"Davenport city, Iowa","101,728","101,646","101,072","100,486"
330,"Daly City city, California","104,973","104,633","101,482","100,007"
331,"Fayetteville city, Arkansas","94,308","94,769","97,328","99,285"
332,"San Angelo city, Texas","99,904","100,060","99,423","99,112"
333,"Boca Raton city, Florida","97,439","98,242","98,796","99,009"
334,"Longmont city, Colorado","98,906","99,181","99,721","98,687"
335,"Norwalk city, California","102,762","102,410","100,313","98,537"
335,"Suffolk city, Virginia","94,326","94,697","96,328","98,537"
337,"Yuma city, Arizona","96,147","96,398","97,154","98,527"
338,"Kenosha city, Wisconsin","99,979","99,895","99,270","98,484"
339,"Palm Coast city, Florida","89,251","89,735","93,748","98,411"
340,"Federal Way city, Washington","101,025","100,981","99,283","97,863"
341,"Roanoke city, Virginia","100,015","99,883","98,744","97,847"
342,"Vista city, California","98,414","98,390","98,563","97,766"
343,"Tracy city, California","93,115","93,413","95,252","97,328"
344,"Deltona city, Florida","93,702","94,038","95,386","97,267"
345,"Beaverton city, Oregon","97,503","97,495","98,466","97,053"
346,"Portsmouth city, Virginia","97,915","97,954","97,638","97,029"
347,"Yakima city, Washington","96,971","97,055","96,918","97,012"
348,"Sunrise city, Florida","97,309","97,103","96,222","96,306"
349,"Edmond city, Oklahoma","94,436","94,750","95,356","96,286"
350,"Plantation city, Florida","91,750","92,050","93,188","96,042"
351,"Fort Myers city, Florida","86,401","87,271","93,290","95,949"
352,"Orem city, Utah","98,133","98,424","98,150","95,910"
353,"Lawrence city, Kansas","94,930","94,923","95,372","95,794"
354,"Reading city, Pennsylvania","95,100","94,972","94,940","94,858"
355,"San Marcos city, California","94,862","94,900","93,756","94,854"
356,"Mount Pleasant town, South Carolina","90,838","91,092","92,844","94,545"
357,"Bellingham city, Washington","91,483","91,871","90,133","93,896"
358,"Livonia city, Michigan","95,526","95,270","94,612","93,779"
359,"Asheville city, North Carolina","94,581","94,390","94,142","93,776"
360,"Fall River city, Massachusetts","93,984","93,933","93,952","93,682"
361,"O'Fallon city, Missouri","91,347","91,631","93,729","93,663"
362,"Erie city, Pennsylvania","94,849","94,704","94,160","93,511"
363,"Chino city, California","91,387","91,131","91,716","93,140"
364,"Sandy city, Utah","97,253","96,921","95,076","93,022"
365,"Roswell city, Georgia","92,835","92,939","92,627","92,950"
366,"Redding city, California","93,609","93,479","93,422","92,906"
367,"Hoover city, Alabama","92,605","92,714","92,627","92,435"
368,"Carson city, California","95,553","95,286","93,285","92,388"
369,"Kirkland city, Washington","92,166","92,734","92,129","92,151"
370,"Compton city, California","95,712","95,411","93,456","91,988"
371,"Indio city, California","89,126","89,274","90,528","91,980"
372,"Mission Viejo city, California","93,639","93,464","92,436","91,776"
373,"Avondale city, Arizona","89,345","89,564","90,502","91,617"
374,"Merced city, California","86,370","86,648","89,515","91,563"
375,"Lawton city, Oklahoma","90,387","90,365","91,242","91,542"
376,"Norwalk city, Connecticut","91,187","90,928","91,475","91,401"
377,"Nashua city, New Hampshire","91,335","91,193","91,297","91,161"
378,"South Gate city, California","92,727","92,434","91,012","90,926"
379,"Hemet city, California","89,818","89,844","90,480","90,689"
380,"Fort Smith city, Arkansas","89,141","89,147","89,557","89,992"
381,"Santa Monica city, California","93,075","92,803","91,250","89,947"
382,"Trenton city, New Jersey","90,860","90,578","90,026","89,661"
383,"Temple city, Texas","82,072","82,645","85,587","89,458"
384,"Westminster city, California","90,915","90,786","90,124","89,397"
385,"Champaign city, Illinois","88,293","88,358","89,338","89,241"
386,"Greenville city, North Carolina","87,628","87,626","88,399","89,233"
387,"Santa Fe city, New Mexico","87,503","87,724","88,302","89,008"
388,"Clifton city, New Jersey","90,309","90,054","89,516","88,709"
389,"Waukegan city, Illinois","89,313","89,115","88,679","87,976"
390,"Lawrence city, Massachusetts","89,153","88,876","88,436","87,954"
391,"Bloomington city, Minnesota","89,980","89,844","89,437","87,797"
392,"Bryan city, Texas","83,967","84,325","85,256","87,792"
393,"Springdale city, Arkansas","87,315","87,312","87,658","87,672"
394,"Santa Barbara city, California","88,676","88,676","88,316","87,533"
395,"Newton city, Massachusetts","88,918","88,759","87,799","87,381"
396,"Troy city, Michigan","87,300","87,076","87,592","87,201"
397,"Danbury city, Connecticut","86,510","86,254","87,105","86,967"
398,"Manteca city, California","83,507","83,834","85,716","86,928"
399,"Franklin city, Tennessee","83,547","84,124","85,804","86,895"
