Region,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 National,$272K,$276K,$284K,$290K,$298K,$303K,$299K,$297K,$292K,$294K,$295K,$296K,$290K,$294K,$303K,$304K,$299K,$311K,$323K,$329K,$332K,$335K,$334K,$333K,$330K,$337K,$354K,$370K,$377K,$387K,$385K,$381K,$377K,$380K,$384K,$383K,$377K,$391K,$414K,$426K,$432K,$429K,$414K,$408K,$404K,$400K,$394K,$388K,$382K,$387K,$400K,$408K,$260K,$257K,$256K,$252K,$252K,$255K,$254K,$247K,$247K,$257K,$263K,$269K,$278K,$273K,$272K,$269K,$268K,$270K,$272K,$264K,$268K,$278K,$282K,$288K,$293K,$288K,$285K,$279K,$278K,$280K,$278K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boston, MA metro area",$473K,$455K,$475K,$485K,$520K,$530K,$530K,$515K,$490K,$485K,$491K,$500K,$505K,$498K,$521K,$538K,$530K,$540K,$555K,$569K,$560K,$550K,$550K,$550K,$558K,$550K,$577K,$601K,$620K,$650K,$635K,$625K,$605K,$600K,$610K,$620K,$597K,$595K,$637K,$675K,$690K,$705K,$686K,$675K,$650K,$630K,$643K,$605K,$614K,$598K,$650K,$670K,$450K,$445K,$439K,$419K,$415K,$427K,$420K,$423K,$400K,$430K,$445K,$455K,$476K,$475K,$465K,$450K,$447K,$455K,$455K,$455K,$440K,$465K,$484K,$495K,$513K,$515K,$500K,$470K,$470K,$475K,$457K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chicago, IL metro area",$225K,$233K,$243K,$255K,$262K,$266K,$262K,$255K,$244K,$240K,$242K,$240K,$234K,$242K,$265K,$275K,$265K,$269K,$280K,$285K,$277K,$275K,$270K,$269K,$270K,$275K,$300K,$312K,$315K,$320K,$312K,$305K,$294K,$293K,$293K,$290K,$290K,$292K,$310K,$327K,$329K,$340K,$325K,$310K,$305K,$300K,$294K,$285K,$285K,$290K,$308K,$320K,$246K,$241K,$235K,$220K,$220K,$215K,$215K,$208K,$209K,$235K,$247K,$250K,$255K,$250K,$240K,$234K,$225K,$226K,$227K,$225K,$230K,$245K,$253K,$255K,$265K,$255K,$245K,$240K,$232K,$235K,$229K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los Angeles, CA metro area",$595K,$602K,$625K,$626K,$630K,$638K,$650K,$640K,$641K,$645K,$640K,$650K,$635K,$639K,$660K,$650K,$635K,$655K,$700K,$710K,$730K,$735K,$720K,$730K,$722K,$745K,$775K,$795K,$815K,$830K,$825K,$825K,$821K,$810K,$820K,$840K,$825K,$840K,$875K,$900K,$900K,$890K,$862K,$845K,$840K,$825K,$810K,$799K,$796K,$795K,$820K,$830K,$545K,$541K,$545K,$536K,$544K,$545K,$535K,$540K,$543K,$557K,$560K,$578K,$587K,$590K,$590K,$590K,$579K,$590K,$588K,$576K,$598K,$603K,$610K,$630K,$635K,$628K,$629K,$615K,$615K,$625K,$602K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, PA metro area",$185K,$185K,$199K,$210K,$218K,$236K,$225K,$222K,$200K,$200K,$216K,$210K,$209K,$215K,$235K,$247K,$233K,$250K,$246K,$245K,$243K,$237K,$245K,$240K,$235K,$237K,$259K,$265K,$268K,$280K,$275K,$270K,$260K,$260K,$265K,$256K,$250K,$250K,$265K,$275K,$288K,$297K,$280K,$275K,$259K,$256K,$260K,$258K,$240K,$235K,$260K,$263K,$195K,$185K,$180K,$172K,$169K,$170K,$176K,$172K,$160K,$175K,$190K,$199K,$213K,$204K,$190K,$185K,$186K,$185K,$189K,$184K,$175K,$196K,$204K,$209K,$215K,$208K,$207K,$200K,$195K,$195K,$189K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle, WA metro area",$518K,$540K,$555K,$569K,$585K,$575K,$559K,$553K,$535K,$555K,$550K,$569K,$550K,$575K,$590K,$600K,$580K,$610K,$618K,$628K,$635K,$631K,$628K,$620K,$621K,$651K,$699K,$715K,$738K,$740K,$745K,$725K,$710K,$725K,$715K,$728K,$710K,$750K,$820K,$850K,$850K,$815K,$790K,$775K,$760K,$763K,$731K,$705K,$719K,$710K,$742K,$770K,$460K,$450K,$450K,$448K,$440K,$451K,$456K,$440K,$455K,$480K,$500K,$505K,$518K,$525K,$519K,$505K,$506K,$520K,$525K,$507K,$525K,$551K,$575K,$580K,$580K,$570K,$550K,$540K,$550K,$545K,$530K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, DC metro area",$385K,$387K,$405K,$420K,$423K,$427K,$420K,$415K,$400K,$410K,$415K,$418K,$399K,$417K,$438K,$447K,$440K,$440K,$470K,$464K,$456K,$460K,$450K,$450K,$441K,$450K,$479K,$505K,$514K,$520K,$508K,$490K,$480K,$495K,$495K,$488K,$474K,$496K,$525K,$550K,$555K,$550K,$530K,$520K,$500K,$518K,$500K,$490K,$475K,$505K,$520K,$545K,$392K,$380K,$374K,$364K,$361K,$370K,$372K,$356K,$360K,$370K,$390K,$400K,$405K,$395K,$387K,$368K,$378K,$385K,$385K,$364K,$373K,$391K,$405K,$410K,$418K,$400K,$399K,$383K,$390K,$390K,$399K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco County, CA","$1,200K","$1,311K","$1,425K","$1,442K","$1,425K","$1,480K","$1,430K","$1,410K","$1,445K","$1,456K","$1,380K","$1,325K","$1,302K","$1,410K","$1,460K","$1,450K","$1,461K","$1,550K","$1,450K","$1,460K","$1,383K","$1,403K","$1,420K","$1,349K","$1,275K","$1,350K","$1,400K","$1,450K","$1,450K","$1,500K","$1,500K","$1,478K","$1,450K","$1,525K","$1,516K","$1,475K","$1,325K","$1,490K","$1,515K","$1,613K","$1,500K","$1,540K","$1,460K","$1,300K","$1,400K","$1,423K","$1,339K","$1,275K","$1,213K","$1,320K","$1,351K","$1,338K","$1,250K","$1,200K","$1,200K","$1,150K","$1,300K","$1,200K","$1,180K","$1,158K","$1,275K","$1,235K","$1,275K","$1,300K","$1,300K","$1,263K","$1,300K","$1,280K","$1,316K","$1,360K","$1,300K","$1,250K","$1,378K","$1,445K","$1,415K","$1,400K","$1,400K","$1,350K","$1,393K","$1,386K","$1,400K","$1,333K","$1,365K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA","$1,200K","$1,311K","$1,425K","$1,442K","$1,425K","$1,480K","$1,430K","$1,410K","$1,445K","$1,456K","$1,380K","$1,325K","$1,302K","$1,410K","$1,460K","$1,450K","$1,461K","$1,550K","$1,450K","$1,460K","$1,383K","$1,403K","$1,420K","$1,349K","$1,275K","$1,350K","$1,400K","$1,450K","$1,450K","$1,500K","$1,500K","$1,478K","$1,450K","$1,525K","$1,516K","$1,475K","$1,325K","$1,490K","$1,515K","$1,613K","$1,500K","$1,540K","$1,460K","$1,300K","$1,400K","$1,423K","$1,339K","$1,275K","$1,213K","$1,320K","$1,351K","$1,338K","$1,250K","$1,200K","$1,200K","$1,150K","$1,300K","$1,200K","$1,180K","$1,158K","$1,275K","$1,235K","$1,275K","$1,300K","$1,300K","$1,263K","$1,300K","$1,280K","$1,316K","$1,360K","$1,300K","$1,250K","$1,378K","$1,445K","$1,415K","$1,400K","$1,400K","$1,350K","$1,393K","$1,386K","$1,400K","$1,340K","$1,365K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA metro area","$1,225K","$1,285K","$1,400K","$1,425K","$1,500K","$1,453K","$1,410K","$1,370K","$1,360K","$1,407K","$1,375K","$1,316K","$1,289K","$1,400K","$1,450K","$1,400K","$1,493K","$1,550K","$1,450K","$1,500K","$1,449K","$1,420K","$1,400K","$1,350K","$1,335K","$1,374K","$1,428K","$1,510K","$1,538K","$1,585K","$1,600K","$1,510K","$1,525K","$1,555K","$1,575K","$1,480K","$1,410K","$1,530K","$1,565K","$1,657K","$1,620K","$1,585K","$1,500K","$1,400K","$1,476K","$1,483K","$1,400K","$1,317K","$1,280K","$1,420K","$1,425K","$1,435K","$1,200K","$1,185K","$1,150K","$1,121K","$1,225K","$1,137K","$1,140K","$1,050K","$1,212K","$1,200K","$1,275K","$1,304K","$1,280K","$1,258K","$1,248K","$1,230K","$1,285K","$1,330K","$1,325K","$1,288K","$1,383K","$1,400K","$1,430K","$1,425K","$1,415K","$1,400K","$1,375K","$1,420K","$1,400K","$1,328K","$1,334K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South San Francisco, CA",$963K,$957K,"$1,000K","$1,064K","$1,050K","$1,050K","$1,080K",$995K,"$1,000K",$930K,$932K,"$1,068K","$1,239K","$1,053K",$990K,"$1,100K",$953K,$919K,"$1,123K","$1,100K","$1,020K","$1,128K","$1,094K","$1,000K","$1,140K","$1,155K","$1,200K",$993K,"$1,247K","$1,287K","$1,225K","$1,225K","$1,220K","$1,185K","$1,200K","$1,210K","$1,313K","$1,315K","$1,400K","$1,419K","$1,490K","$1,275K","$1,221K","$1,274K","$1,201K","$1,195K","$1,100K","$1,113K","$1,118K",$985K,"$1,275K","$1,150K",$801K,$820K,$803K,$768K,$802K,$795K,$810K,$868K,$859K,$818K,$922K,$817K,$910K,$875K,$865K,$830K,$861K,$892K,$977K,"$1,000K","$1,110K","$1,053K",$908K,"$1,090K","$1,025K","$1,108K","$1,000K","$1,002K",$970K,$980K,"$1,050K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
