Column1,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Philadelphia, PA metro area",12/1/2021,$256K,-0.034,0.067,2513,0.052,0.049,1667,-0.293,-0.008,4922,-0.159,-0.026,40,3,5,0.986,-0.001,0.005
"Philadelphia, PA metro area",1/1/2022,$250K,-0.023,0.064,2057,-0.181,0.098,2083,0.25,-0.063,4592,-0.067,-0.061,46,6,6,0.982,-0.004,0.003
"Philadelphia, PA metro area",2/1/2022,$250K,0,0.055,1805,-0.123,0.043,2538,0.218,0.196,4658,0.014,-0.005,49,3,7,0.982,0,0.005
"Philadelphia, PA metro area",3/1/2022,$265K,0.06,0.025,2466,0.366,0.089,3352,0.321,0.011,4963,0.065,0.011,35,-14,-4,0.99,0.008,0.004
"Philadelphia, PA metro area",4/1/2022,$275K,0.038,0.038,2361,-0.043,-0.058,3381,0.009,-0.065,5453,0.099,0.037,29,-6,-3,0.997,0.007,0.006
"Philadelphia, PA metro area",5/1/2022,$288K,0.045,0.075,2536,0.074,0.003,3176,-0.061,-0.054,5711,0.047,0.056,26,-3,-1,1.003,0.006,0.005
"Philadelphia, PA metro area",6/1/2022,$297K,0.033,0.061,2759,0.088,-0.12,3416,0.076,-0.006,6286,0.101,0.114,27,1,2,1.002,-0.001,0.002
"Philadelphia, PA metro area",7/1/2022,$280K,-0.057,0.018,2202,-0.202,-0.197,2761,-0.192,-0.15,6524,0.038,0.063,30,3,4,0.997,-0.005,-0.005
"Philadelphia, PA metro area",8/1/2022,$275K,-0.018,0.019,2217,0.007,-0.135,2554,-0.075,-0.147,6447,-0.012,0.051,32,2,4,0.988,-0.009,-0.01
"Philadelphia, PA metro area",9/1/2022,$259K,-0.057,-0.003,1956,-0.118,-0.19,2621,0.026,-0.147,6639,0.03,0.026,40,8,7,0.979,-0.009,-0.012
"Philadelphia, PA metro area",10/1/2022,$256K,-0.012,-0.014,1739,-0.111,-0.242,2368,-0.097,-0.192,6627,-0.002,0.039,37,-3,0,0.978,-0.001,-0.008
"Philadelphia, PA metro area",11/1/2022,$260K,0.015,-0.019,1604,-0.078,-0.329,1808,-0.236,-0.233,6221,-0.061,0.063,39,2,2,0.975,-0.003,-0.012
"Philadelphia, PA metro area",12/1/2022,$258K,-0.01,0.006,1516,-0.055,-0.397,1337,-0.261,-0.198,5475,-0.12,0.112,46,7,6,0.971,-0.004,-0.015
"Philadelphia, PA metro area",1/1/2023,$240K,-0.068,-0.04,1260,-0.169,-0.387,1874,0.402,-0.1,5396,-0.014,0.175,53,7,7,0.961,-0.009,-0.02
"Philadelphia, PA metro area",2/1/2023,$235K,-0.021,-0.06,1284,0.019,-0.289,1902,0.015,-0.251,5351,-0.008,0.149,59,6,10,0.965,0.004,-0.017
"Philadelphia, PA metro area",3/1/2023,$260K,0.106,-0.019,1761,0.371,-0.286,2658,0.397,-0.207,5483,0.025,0.105,47,-12,12,0.974,0.008,-0.016
"Philadelphia, PA metro area",4/1/2023,$263K,0.012,-0.044,1673,-0.05,-0.291,2545,-0.043,-0.247,5610,0.023,0.029,41,-6,12,0.979,0.006,-0.018
"Seattle, WA metro area",2/1/2019,$540K,0.043,0.029,2889,0.235,-0.015,3072,-0.06,-0.14,5270,-0.002,1.065,40,-8,32,0.991,0.007,-0.043
"Seattle, WA metro area",3/1/2019,$555K,0.028,0.007,3362,0.164,-0.132,5399,0.757,0.016,5861,0.112,0.868,19,-21,12,0.998,0.006,-0.042
"Seattle, WA metro area",4/1/2019,$569K,0.025,-0.01,4237,0.26,-0.01,5732,0.062,0.04,6348,0.083,0.617,10,-9,3,1.004,0.006,-0.041
"Seattle, WA metro area",5/1/2019,$585K,0.028,0.009,4939,0.166,0.003,7094,0.238,0.003,7897,0.244,0.479,9,-1,2,1.004,0,-0.036
"Seattle, WA metro area",6/1/2019,$575K,-0.017,-0.009,4861,-0.016,-0.057,5576,-0.214,-0.138,8102,0.026,0.221,11,2,4,1.003,-0.001,-0.024
"Seattle, WA metro area",7/1/2019,$559K,-0.028,-0.02,4852,-0.002,0.005,4925,-0.117,-0.127,7847,-0.031,0.05,14,3,5,0.999,-0.004,-0.014
"Seattle, WA metro area",8/1/2019,$553K,-0.011,0.005,4652,-0.041,0.014,4496,-0.087,-0.163,7604,-0.031,-0.093,18,4,6,0.996,-0.003,-0.007
"Seattle, WA metro area",9/1/2019,$535K,-0.032,-0.009,3875,-0.167,0.091,4512,0.004,-0.122,7507,-0.013,-0.19,21,3,4,0.995,-0.001,-0.001
"Seattle, WA metro area",10/1/2019,$555K,0.037,0.009,4158,0.073,0.077,3806,-0.156,-0.052,6577,-0.124,-0.237,19,-2,-2,0.995,0,0.003
"Seattle, WA metro area",11/1/2019,$550K,-0.009,0.009,3624,-0.128,0.053,2363,-0.379,-0.131,4882,-0.258,-0.33,24,5,-4,0.994,-0.001,0.005
"Seattle, WA metro area",12/1/2019,$569K,0.034,0.073,3758,0.037,0.182,1619,-0.315,0.198,3484,-0.286,-0.37,31,7,-9,0.993,-0.001,0.007
"Seattle, WA metro area",1/1/2020,$550K,-0.033,0.063,2511,-0.332,0.073,3218,0.988,-0.015,3288,-0.056,-0.377,38,7,-10,0.994,0.001,0.01
"Seattle, WA metro area",2/1/2020,$575K,0.045,0.064,3008,0.198,0.041,4012,0.247,0.306,3437,0.045,-0.348,16,-22,-24,1.006,0.012,0.015
"Seattle, WA metro area",3/1/2020,$590K,0.027,0.063,3810,0.267,0.133,5202,0.297,-0.036,4474,0.302,-0.237,7,-9,-12,1.017,0.011,0.02
"Seattle, WA metro area",4/1/2020,$600K,0.017,0.054,3062,-0.196,-0.277,3758,-0.278,-0.344,4886,0.092,-0.23,6,-1,-4,1.015,-0.003,0.011
"Seattle, WA metro area",5/1/2020,$580K,-0.033,-0.009,3076,0.005,-0.377,4796,0.276,-0.324,4977,0.019,-0.37,10,4,1,1.004,-0.011,0
"Seattle, WA metro area",6/1/2020,$610K,0.052,0.061,4455,0.448,-0.084,5324,0.11,-0.045,4862,-0.023,-0.4,9,-1,-2,1.008,0.004,0.005
"Seattle, WA metro area",7/1/2020,$618K,0.013,0.106,5089,0.142,0.049,6119,0.149,0.242,5216,0.073,-0.335,8,-1,-6,1.012,0.004,0.013
"Seattle, WA metro area",8/1/2020,$628K,0.016,0.136,5052,-0.007,0.086,6037,-0.013,0.343,5246,0.006,-0.31,7,-1,-11,1.014,0.002,0.018
"Seattle, WA metro area",9/1/2020,$635K,0.012,0.187,5388,0.067,0.39,5733,-0.05,0.271,5021,-0.043,-0.331,7,0,-14,1.016,0.002,0.021
"Seattle, WA metro area",10/1/2020,$631K,-0.006,0.138,5657,0.05,0.361,5237,-0.087,0.376,4777,-0.049,-0.274,7,0,-12,1.017,0.001,0.022
"Seattle, WA metro area",11/1/2020,$628K,-0.005,0.142,4525,-0.2,0.249,3026,-0.422,0.281,3478,-0.272,-0.288,7,0,-17,1.016,0,0.023
"Seattle, WA metro area",12/1/2020,$620K,-0.013,0.09,4487,-0.008,0.194,2533,-0.163,0.565,2488,-0.285,-0.286,9,2,-22,1.016,-0.001,0.023
"Seattle, WA metro area",1/1/2021,$621K,0.001,0.128,2929,-0.347,0.166,3436,0.356,0.068,2334,-0.062,-0.29,10,1,-28,1.018,0.003,0.024
"Seattle, WA metro area",2/1/2021,$651K,0.049,0.133,3180,0.086,0.057,3830,0.115,-0.045,2274,-0.026,-0.338,6,-4,-10,1.041,0.023,0.035
"Seattle, WA metro area",3/1/2021,$699K,0.074,0.185,4520,0.421,0.186,5565,0.453,0.07,2247,-0.012,-0.498,6,0,-1,1.064,0.022,0.046
"Seattle, WA metro area",4/1/2021,$715K,0.023,0.192,5043,0.116,0.647,6295,0.131,0.675,3002,0.336,-0.386,5,-1,-1,1.075,0.011,0.06
"Seattle, WA metro area",5/1/2021,$738K,0.031,0.272,5267,0.044,0.712,5888,-0.065,0.228,2767,-0.078,-0.444,5,0,-5,1.076,0.001,0.072
"Seattle, WA metro area",6/1/2021,$740K,0.003,0.213,6140,0.166,0.378,6562,0.114,0.233,3158,0.141,-0.35,6,1,-3,1.071,-0.005,0.063
"Seattle, WA metro area",7/1/2021,$745K,0.007,0.205,5754,-0.063,0.131,6101,-0.07,-0.003,3836,0.215,-0.265,6,0,-2,1.058,-0.012,0.046
"Seattle, WA metro area",8/1/2021,$725K,-0.027,0.155,5492,-0.046,0.087,5368,-0.12,-0.111,3389,-0.117,-0.354,6,0,-1,1.045,-0.013,0.031
"Seattle, WA metro area",9/1/2021,$710K,-0.021,0.118,5384,-0.02,-0.001,5441,0.014,-0.051,3447,0.017,-0.313,7,1,0,1.037,-0.008,0.021
"Seattle, WA metro area",10/1/2021,$725K,0.021,0.148,4992,-0.073,-0.118,4236,-0.221,-0.191,2668,-0.226,-0.441,7,0,0,1.037,0,0.021
"Seattle, WA metro area",11/1/2021,$715K,-0.014,0.139,4579,-0.083,0.012,2920,-0.311,-0.035,1635,-0.387,-0.53,6,-1,-1,1.041,0.003,0.024
"Seattle, WA metro area",12/1/2021,$728K,0.019,0.175,3874,-0.154,-0.137,2021,-0.308,-0.202,1097,-0.329,-0.559,7,1,-2,1.043,0.002,0.027
"Seattle, WA metro area",1/1/2022,$710K,-0.025,0.144,2302,-0.406,-0.214,2848,0.409,-0.171,1156,0.054,-0.505,6,-1,-4,1.05,0.007,0.032
"Seattle, WA metro area",2/1/2022,$750K,0.056,0.152,2719,0.181,-0.145,3972,0.395,0.037,1477,0.278,-0.35,5,-1,-1,1.087,0.037,0.045
"Seattle, WA metro area",3/1/2022,$820K,0.093,0.173,4456,0.639,-0.014,5738,0.445,0.031,2183,0.478,-0.028,5,0,-1,1.106,0.02,0.043
"Seattle, WA metro area",4/1/2022,$850K,0.037,0.188,4579,0.028,-0.092,5734,-0.001,-0.089,3184,0.459,0.061,5,0,0,1.098,-0.008,0.024
"Seattle, WA metro area",5/1/2022,$850K,0,0.152,4858,0.061,-0.078,6074,0.059,0.032,4117,0.293,0.488,5,0,0,1.07,-0.028,-0.006
"Seattle, WA metro area",6/1/2022,$815K,-0.041,0.101,4633,-0.046,-0.245,6305,0.038,-0.039,6109,0.484,0.934,6,1,0,1.029,-0.041,-0.041
"Seattle, WA metro area",7/1/2022,$790K,-0.031,0.06,3598,-0.223,-0.375,5025,-0.203,-0.176,6779,0.11,0.767,9,3,3,1.003,-0.027,-0.056
"Seattle, WA metro area",8/1/2022,$775K,-0.019,0.069,3821,0.062,-0.304,4038,-0.196,-0.248,6217,-0.083,0.834,15,6,9,0.989,-0.013,-0.056
"Seattle, WA metro area",9/1/2022,$760K,-0.019,0.07,3643,-0.047,-0.323,4046,0.002,-0.256,6443,0.036,0.869,21,6,14,0.988,-0.002,-0.05
"Seattle, WA metro area",10/1/2022,$763K,0.004,0.052,3011,-0.173,-0.397,2868,-0.291,-0.323,5841,-0.093,1.189,21,0,14,0.985,-0.002,-0.052
"Seattle, WA metro area",11/1/2022,$731K,-0.042,0.022,2526,-0.161,-0.448,1903,-0.336,-0.348,4743,-0.188,1.901,25,4,19,0.98,-0.005,-0.06
"Seattle, WA metro area",12/1/2022,$705K,-0.036,-0.032,2180,-0.137,-0.437,1064,-0.441,-0.474,3515,-0.259,2.204,32,7,25,0.978,-0.002,-0.064
"Seattle, WA metro area",1/1/2023,$719K,0.019,0.012,1537,-0.295,-0.332,2061,0.937,-0.276,2990,-0.149,1.587,43,11,37,0.98,0.001,-0.07
"Seattle, WA metro area",2/1/2023,$710K,-0.012,-0.053,2194,0.427,-0.193,2320,0.126,-0.416,2629,-0.121,0.78,32,-11,27,0.992,0.013,-0.094
"Seattle, WA metro area",3/1/2023,$742K,0.044,-0.096,2864,0.305,-0.357,3605,0.554,-0.372,3119,0.186,0.429,13,-19,8,1.001,0.008,-0.106
"Seattle, WA metro area",4/1/2023,$770K,0.038,-0.094,2683,-0.063,-0.414,3235,-0.103,-0.436,3093,-0.008,-0.029,7,-6,2,1.009,0.009,-0.089
"Washington, DC metro area",2/1/2019,$387K,0.005,0.037,4153,0.018,-0.05,6003,0.218,-0.109,11473,0.044,0.042,48,-12,5,0.991,0.003,0.001
"Washington, DC metro area",3/1/2019,$405K,0.047,0.036,5794,0.395,-0.024,8822,0.47,-0.075,12720,0.109,0.049,33,-15,12,0.995,0.004,0.002
"Washington, DC metro area",4/1/2019,$420K,0.037,0.037,6758,0.166,0.01,9710,0.101,-0.06,13997,0.1,0.027,24,-9,11,0.998,0.003,0.002
"Washington, DC metro area",5/1/2019,$423K,0.006,0.03,8007,0.185,0.025,9852,0.015,-0.04,15181,0.085,0.028,23,-1,9,0.998,0,0.002
"Washington, DC metro area",6/1/2019,$427K,0.011,0.022,7682,-0.041,-0.071,7971,-0.191,-0.094,15240,0.004,0.019,26,3,11,0.997,-0.001,0
"Washington, DC metro area",7/1/2019,$420K,-0.016,0.05,7480,-0.026,0.001,7222,-0.094,-0.052,14399,-0.055,-0.014,28,2,9,0.996,-0.001,0.003
"Washington, DC metro area",8/1/2019,$415K,-0.012,0.04,6907,-0.077,-0.022,6817,-0.056,-0.059,14017,-0.027,-0.054,33,5,9,0.995,-0.002,0.003
"Washington, DC metro area",9/1/2019,$400K,-0.036,0.046,5853,-0.153,0.116,7054,0.035,0.013,14429,0.029,-0.124,35,2,7,0.992,-0.002,0.001
"Washington, DC metro area",10/1/2019,$410K,0.025,0.052,6097,0.042,0.038,6393,-0.094,-0.019,13853,-0.04,-0.146,34,-1,-9,0.994,0.001,0.002
"Washington, DC metro area",11/1/2019,$415K,0.012,0.064,5133,-0.158,-0.067,4445,-0.305,-0.039,12144,-0.123,-0.127,37,3,-11,0.994,0,0.005
"Washington, DC metro area",12/1/2019,$418K,0.007,0.048,5605,0.092,0.083,3017,-0.321,-0.003,9685,-0.202,-0.145,42,5,-8,0.992,-0.002,0.003
"Washington, DC metro area",1/1/2020,$399K,-0.045,0.036,4105,-0.268,0.006,5349,0.773,0.085,9757,0.007,-0.112,52,10,-8,0.989,-0.003,0.001
"Washington, DC metro area",2/1/2020,$417K,0.046,0.078,4526,0.103,0.09,6567,0.228,0.094,10203,0.046,-0.111,38,-14,-10,0.995,0.006,0.004
"Washington, DC metro area",3/1/2020,$438K,0.05,0.081,6141,0.357,0.06,8497,0.294,-0.037,11452,0.122,-0.1,27,-11,-6,1.001,0.006,0.006
"Washington, DC metro area",4/1/2020,$447K,0.022,0.065,5668,-0.077,-0.161,6205,-0.27,-0.361,11756,0.027,-0.16,23,-4,-1,1.001,0,0.003
"Washington, DC metro area",5/1/2020,$440K,-0.017,0.041,5510,-0.028,-0.312,6774,0.092,-0.312,11615,-0.012,-0.235,30,7,7,0.997,-0.004,-0.001
"Washington, DC metro area",6/1/2020,$440K,0,0.03,7207,0.308,-0.062,7668,0.132,-0.038,10942,-0.058,-0.282,32,2,6,0.999,0.002,0.001
"Washington, DC metro area",7/1/2020,$470K,0.068,0.119,8100,0.124,0.083,8738,0.14,0.21,11060,0.011,-0.232,29,-3,1,1.002,0.003,0.006
"Washington, DC metro area",8/1/2020,$464K,-0.014,0.117,7792,-0.038,0.128,8042,-0.08,0.18,10595,-0.042,-0.244,26,-3,-7,1.005,0.003,0.01
"Washington, DC metro area",9/1/2020,$456K,-0.016,0.14,7669,-0.016,0.31,8478,0.054,0.202,10957,0.034,-0.241,26,0,-9,1.004,-0.001,0.012
"Washington, DC metro area",10/1/2020,$460K,0.009,0.122,7782,0.015,0.276,8752,0.032,0.369,11328,0.034,-0.182,25,-1,-9,1.005,0.001,0.011
"Washington, DC metro area",11/1/2020,$450K,-0.022,0.084,6760,-0.131,0.317,5734,-0.345,0.29,10099,-0.108,-0.168,26,1,-11,1.004,-0.001,0.011
"Washington, DC metro area",12/1/2020,$450K,0,0.077,7169,0.061,0.279,4426,-0.228,0.467,7955,-0.212,-0.179,30,4,-12,1.002,-0.002,0.01
"Washington, DC metro area",1/1/2021,$441K,-0.02,0.105,4824,-0.327,0.175,5670,0.281,0.06,7700,-0.032,-0.211,34,4,-18,1.003,0.001,0.014
"Washington, DC metro area",2/1/2021,$450K,0.021,0.078,5243,0.087,0.158,6066,0.07,-0.076,7511,-0.025,-0.264,28,-6,-10,1.008,0.005,0.013
"Washington, DC metro area",3/1/2021,$479K,0.065,0.094,6963,0.328,0.134,9094,0.499,0.07,7837,0.043,-0.316,19,-9,-8,1.017,0.009,0.016
"Washington, DC metro area",4/1/2021,$505K,0.054,0.129,8224,0.181,0.451,10519,0.157,0.695,9344,0.192,-0.205,13,-6,-10,1.023,0.006,0.022
"Washington, DC metro area",5/1/2021,$514K,0.018,0.168,8496,0.033,0.542,9972,-0.052,0.472,9754,0.044,-0.16,10,-3,-20,1.028,0.005,0.031
"Washington, DC metro area",6/1/2021,$520K,0.012,0.182,9573,0.127,0.328,10295,0.032,0.343,10795,0.107,-0.013,12,2,-20,1.025,-0.003,0.026
"Washington, DC metro area",7/1/2021,$508K,-0.024,0.08,8524,-0.11,0.052,9896,-0.039,0.133,12328,0.142,0.115,17,5,-12,1.017,-0.008,0.015
"Washington, DC metro area",8/1/2021,$490K,-0.034,0.057,8104,-0.049,0.04,8012,-0.19,-0.004,11936,-0.032,0.127,24,7,-2,1.009,-0.007,0.005
"Washington, DC metro area",9/1/2021,$480K,-0.02,0.053,7170,-0.115,-0.065,8571,0.07,0.011,12609,0.056,0.151,29,5,3,1.005,-0.004,0.001
"Washington, DC metro area",10/1/2021,$495K,0.031,0.076,7100,-0.01,-0.088,7201,-0.16,-0.177,11736,-0.069,0.036,30,1,5,1.003,-0.002,-0.001
"Washington, DC metro area",11/1/2021,$495K,0,0.1,7119,0.003,0.053,5151,-0.285,-0.102,9511,-0.19,-0.058,33,3,7,1.003,-0.001,-0.001
"Washington, DC metro area",12/1/2021,$488K,-0.015,0.084,6832,-0.04,-0.047,3760,-0.27,-0.15,7010,-0.263,-0.119,35,2,5,1.003,0,0
"Washington, DC metro area",1/1/2022,$474K,-0.029,0.074,4393,-0.357,-0.089,4504,0.198,-0.206,6265,-0.106,-0.186,38,3,4,1.002,0,-0.001
"Washington, DC metro area",2/1/2022,$496K,0.048,0.102,4812,0.095,-0.082,6112,0.357,0.008,6401,0.022,-0.148,28,-10,0,1.015,0.013,0.007
"Washington, DC metro area",3/1/2022,$525K,0.058,0.096,6654,0.383,-0.044,8567,0.402,-0.058,7418,0.159,-0.053,15,-13,-4,1.026,0.011,0.009
"Washington, DC metro area",4/1/2022,$550K,0.048,0.089,6941,0.043,-0.156,9184,0.072,-0.127,8853,0.193,-0.053,11,-4,-2,1.031,0.005,0.008
"Washington, DC metro area",5/1/2022,$555K,0.009,0.08,7589,0.093,-0.107,8705,-0.052,-0.127,9861,0.114,0.011,12,1,2,1.028,-0.003,0
"Washington, DC metro area",6/1/2022,$550K,-0.009,0.058,7300,-0.038,-0.237,8573,-0.015,-0.167,11278,0.144,0.045,18,6,6,1.016,-0.012,-0.009
"Washington, DC metro area",7/1/2022,$530K,-0.036,0.044,6027,-0.174,-0.293,7066,-0.176,-0.286,11952,0.06,-0.03,26,8,9,1.005,-0.011,-0.012
"Washington, DC metro area",8/1/2022,$520K,-0.019,0.061,5911,-0.019,-0.271,5666,-0.198,-0.293,11184,-0.064,-0.063,32,6,8,0.997,-0.008,-0.013
"Washington, DC metro area",9/1/2022,$500K,-0.038,0.042,5229,-0.115,-0.271,6463,0.141,-0.246,11822,0.057,-0.062,36,4,7,0.995,-0.001,-0.01
"Washington, DC metro area",10/1/2022,$518K,0.036,0.046,4642,-0.112,-0.346,4997,-0.227,-0.306,11564,-0.022,-0.015,36,0,6,0.995,0,-0.008
"Washington, DC metro area",11/1/2022,$500K,-0.035,0.01,4052,-0.127,-0.431,3610,-0.278,-0.299,10258,-0.113,0.079,42,6,9,0.992,-0.004,-0.011
"Washington, DC metro area",12/1/2022,$490K,-0.02,0.005,3885,-0.041,-0.431,2318,-0.358,-0.384,8146,-0.206,0.162,46,4,11,0.989,-0.003,-0.014
"Washington, DC metro area",1/1/2023,$475K,-0.031,0.003,2880,-0.259,-0.344,3654,0.576,-0.189,7687,-0.056,0.227,59,13,21,0.987,-0.002,-0.015
"Washington, DC metro area",2/1/2023,$505K,0.063,0.018,3548,0.232,-0.263,4003,0.096,-0.345,7210,-0.062,0.126,46,-13,18,0.996,0.009,-0.019
"Washington, DC metro area",3/1/2023,$520K,0.03,-0.01,4621,0.302,-0.306,6313,0.577,-0.263,7957,0.104,0.073,32,-14,17,1.002,0.006,-0.024
"Washington, DC metro area",4/1/2023,$545K,0.048,-0.009,4567,-0.012,-0.342,5846,-0.074,-0.363,8070,0.014,-0.088,27,-5,16,1.009,0.007,-0.023
